Date,^NSEI,^BSESN,BSE-100.BO
2010-01-04,5232.2001953125,17558.73046875,9297.8095703125
2010-01-05,5277.89990234375,17686.240234375,9393.7998046875
2010-01-06,5281.7998046875,17701.130859375,9411.330078125
2010-01-07,5263.10009765625,17615.720703125,9369.1396484375
2010-01-08,5244.75,17540.2890625,9342.8896484375
2010-01-11,5249.39990234375,17526.7109375,9368.73046875
2010-01-12,5210.39990234375,17422.509765625,9293.73046875
2010-01-13,5233.9501953125,17509.80078125,9338.8798828125
2010-01-14,5259.89990234375,17584.869140625,9384.8603515625
2010-01-15,5252.2001953125,17554.30078125,9373.4404296875
2010-01-18,5274.85009765625,17641.080078125,9419.4599609375
2010-01-19,5225.64990234375,17486.060546875,9335.26953125
2010-01-20,5221.7001953125,17474.490234375,9320.4296875
2010-01-21,5094.14990234375,17051.140625,9090.2001953125
2010-01-22,5036.0,16859.6796875,8989.099609375
2010-01-25,5007.89990234375,16780.4609375,8922.509765625
2010-01-27,4853.10009765625,16289.8203125,8633.650390625
2010-01-28,4867.25,16306.8701171875,8674.8798828125
2010-01-29,4882.0498046875,16357.9599609375,8707.8203125
2010-02-01,4899.7001953125,16356.0302734375,8749.5703125
2010-02-02,4830.10009765625,16163.4404296875,8627.66015625
2010-02-03,4931.85009765625,16496.05078125,8805.16015625
2010-02-04,4845.35009765625,16224.9501953125,8657.1201171875
2010-02-05,4718.64990234375,15790.9296875,8427.48046875
2010-02-08,4760.39990234375,15935.6103515625,8511.0498046875
2010-02-09,4792.64990234375,16042.1796875,8568.2802734375
2010-02-10,4757.2001953125,15922.169921875,8509.830078125
2010-02-11,4826.85009765625,16152.58984375,8619.1201171875
2010-02-15,4801.9501953125,16038.349609375,8570.08984375
2010-02-16,4855.75,16226.6796875,8665.4697265625
2010-02-17,4914.0,16428.91015625,8765.849609375
2010-02-18,4887.75,16327.83984375,8714.2197265625
2010-02-19,4844.89990234375,16191.6298828125,8635.419921875
2010-02-22,4856.39990234375,16237.0498046875,8640.7802734375
2010-02-23,4870.0498046875,16286.3203125,8655.3603515625
2010-02-24,4858.60009765625,16255.9697265625,8644.8798828125
2010-02-25,4859.75,16254.2001953125,8645.099609375
2010-02-26,4922.2998046875,16429.55078125,8758.509765625
2010-03-02,5017.0,16772.560546875,8926.16015625
2010-03-03,5088.10009765625,17000.009765625,9052.830078125
2010-03-04,5080.25,16971.69921875,9055.2001953125
2010-03-05,5088.7001953125,16994.490234375,9078.98046875
2010-03-08,5124.0,17102.599609375,9133.16015625
2010-03-09,5101.5,17052.5390625,9082.169921875
2010-03-10,5116.25,17098.330078125,9099.6201171875
2010-03-11,5133.39990234375,17167.9609375,9118.7001953125
2010-03-12,5137.0,17166.619140625,9115.5498046875
2010-03-15,5128.89990234375,17164.990234375,9094.849609375
2010-03-16,5198.10009765625,17383.1796875,9203.2099609375
2010-03-17,5231.89990234375,17490.080078125,9256.650390625
2010-03-18,5245.89990234375,17519.259765625,9275.0498046875
2010-03-19,5262.7998046875,17578.23046875,9302.76953125
2010-03-22,5205.2001953125,17410.5703125,9208.740234375
2010-03-23,5225.2998046875,17451.01953125,9235.9697265625
2010-03-25,5260.39990234375,17558.849609375,9284.01953125
