Date,GAIL.NS,PETRONET.NS,ZYDUSWELL.NS,BRITANNIA.NS,NESTLEIND.NS,IPCALAB.NS,AJANTPHARM.NS,SUNPHARMA.NS,POWERGRID.NS,JSWENERGY.NS,TORNTPOWER.NS,FEL.NS,JKCEMENT.NS,ULTRACEMCO.NS,MARICO.NS,MOTHERSUMI.NS,TVSMOTOR.NS,MARUTI.NS,ITC.NS,GODREJCP.NS,HCLTECH.NS,WIPRO.NS,HDFCBANK.NS,INDUSINDBK.NS,JINDALSTEL.NS
2010-01-04,60.43470764160156,26.245288848876953,245.43695068359375,120.05088806152344,475.93115234375,198.3863983154297,10.15052604675293,130.6727752685547,87.03656005859375,83.9130630493164,260.9588928222656,372.3633117675781,128.47238159179688,929.7784423828125,42.799346923828125,10.875554084777832,29.72187042236328,1429.0474853515625,62.1313362121582,72.55503845214844,60.86014175415039,108.13359832763672,134.24520874023438,133.7535400390625,700.81103515625
2010-01-05,60.96587371826172,26.838909149169922,244.84344482421875,120.23078155517578,475.93115234375,196.69248962402344,10.051033020019531,134.599853515625,87.30757904052734,94.02256774902344,264.9328918457031,376.0067443847656,139.1959228515625,949.0264892578125,43.429988861083984,11.054993629455566,29.72187042236328,1396.2562255859375,62.743690490722656,72.6620864868164,62.22953414916992,109.84040832519531,134.3632049560547,133.61309814453125,715.7166748046875
2010-01-06,60.55842971801758,27.522476196289062,242.9716796875,119.13716125488281,475.93115234375,197.26339721679688,9.96017074584961,136.34669494628906,87.92703247070312,93.89775848388672,259.1788635253906,392.403076171875,139.952880859375,950.181396484375,43.13566589355469,10.825909614562988,28.587608337402344,1346.332275390625,62.890655517578125,70.6678695678711,60.35173797607422,107.61963653564453,134.45375061035156,136.79661560058594,712.7158813476562
2010-01-07,62.08000946044922,27.468507766723633,240.00416564941406,118.64788818359375,475.93115234375,195.78472900390625,10.211078643798828,134.27044677734375,88.70140075683594,94.10576629638672,256.9848937988281,395.08734130859375,138.8174591064453,941.56787109375,42.715240478515625,11.047393798828125,28.29353904724121,1338.6409912109375,62.69475173950195,70.10574340820312,59.0643424987793,105.70985412597656,134.80397033691406,133.70672607421875,709.1739501953125
2010-01-08,62.4294548034668,27.846271514892578,239.31935119628906,118.9105224609375,2159.282958984375,203.39334106445312,10.055315017700195,136.53309631347656,88.93368530273438,94.10576629638672,259.5928039550781,394.5126037597656,138.27076721191406,953.068603515625,42.54703140258789,10.875554084777832,28.524595260620117,1320.0810546875,62.82945251464844,71.8188705444336,57.68673324584961,104.12012481689453,134.9810791015625,133.23858642578125,700.1223754882812
2010-01-11,62.96114730834961,28.745697021484375,239.95843505859375,118.88175964355469,2163.005126953125,209.99127197265625,10.128912925720215,136.51138305664062,89.36145782470703,99.68055725097656,259.9239807128906,407.5523986816406,139.280029296875,954.2716674804688,42.50502014160156,11.116122245788574,31.759336471557617,1339.9766845703125,62.85390853881836,71.49766540527344,58.260746002197266,103.0838394165039,134.43801879882812,133.4258270263672,702.2376708984375
2010-01-12,62.26171875,27.756324768066406,240.1410675048828,119.896240234375,2166.380615234375,210.33753967285156,9.981782913208008,136.25999450683594,88.07818603515625,99.47254943847656,264.1049499511719,403.2859802246094,136.2101593017578,947.582763671875,43.072608947753906,10.921369552612305,32.43150329589844,1327.3116455078125,61.24953079223633,71.4709243774414,60.327125549316406,108.13359832763672,133.4187774658203,131.03823852539062,696.72802734375
2010-01-13,61.95626449584961,29.087478637695312,241.5106964111328,119.46094512939453,2154.696044921875,227.65118408203125,9.990413665771484,134.17942810058594,89.40033721923828,97.9332275390625,264.8500671386719,399.83380126953125,137.59793090820312,993.5858764648438,43.471988677978516,10.990096092224121,32.7885856628418,1316.028076171875,60.98005676269531,71.49766540527344,61.9835090637207,111.53129577636719,132.9544219970703,128.46334838867188,690.4804077148438
2010-01-14,62.60393142700195,29.627134323120117,240.232421875,120.89269256591797,2222.9453125,220.6976776123047,9.964454650878906,135.1936798095703,91.26689910888672,99.09811401367188,264.8915100097656,398.5394592285156,143.02279663085938,1004.749755859375,44.0816535949707,11.333781242370605,32.53652572631836,1303.224609375,60.784156799316406,71.96615600585938,60.69613265991211,115.50530242919922,132.52154541015625,128.83786010742188,684.085205078125
2010-01-15,61.95626449584961,29.141443252563477,240.1867218017578,121.86043548583984,2175.599609375,222.17633056640625,10.029356956481934,132.2115478515625,92.27796173095703,97.51719665527344,256.3225402832031,397.580322265625,144.24232482910156,997.9647216796875,44.43903732299805,11.551437377929688,32.24244689941406,1301.9351806640625,61.910884857177734,71.52447509765625,60.58135986328125,114.6948471069336,133.33615112304688,132.72357177734375,667.7529907226562
2010-01-18,63.84905242919922,28.69173240661621,240.4149932861328,121.10853576660156,2195.2041015625,220.87547302246094,10.033703804016113,131.46168518066406,91.46131896972656,96.01950073242188,260.6277160644531,410.0453796386719,142.0555419921875,965.00244140625,43.80839157104492,11.245916366577148,32.36848449707031,1316.580810546875,61.37202453613281,70.68128204345703,61.753910064697266,116.50347900390625,139.04214477539062,133.61309814453125,654.3231201171875
2010-01-19,62.0365104675293,28.421903610229492,239.9127960205078,121.60142517089844,2212.471923828125,222.66299438476562,10.228407859802246,128.81329345703125,90.41138458251953,94.68821716308594,259.344482421875,408.1754150390625,135.66348266601562,961.9227294921875,43.5771369934082,10.963360786437988,32.494510650634766,1307.32373046875,61.2127799987793,70.0388412475586,61.794925689697266,115.17076873779297,140.0299072265625,138.57562255859375,655.6514282226562
